ERR6134032	ERR6134032.fasta.gz	ERR6134032	SAMEA9272756
ERR6134033	ERR6134033.fasta.gz	ERR6134033	SAMEA9272758
ERR6134035	ERR6134035.fasta.gz	ERR6134035	SAMEA9272761
ERR6134036	ERR6134036.fasta.gz	ERR6134036	SAMEA9272763
ERR6134037	ERR6134037.fasta.gz	ERR6134037	SAMEA9282049
ERR6229548	ERR6229548.fasta.gz	ERR6229548	SAMEA8962998
ERR6229556	ERR6229556.fasta.gz	ERR6229556	SAMEA8963006
ERR6259542	ERR6259542.fasta.gz	ERR6259542	SAMEA9401484
ERR6259546	ERR6259546.fasta.gz	ERR6259546	SAMEA9401488
ERR6259557	ERR6259557.fasta.gz	ERR6259557	SAMEA9401499
